,Sourah_number,Verse_number,Sourah_Ar,Sourah_En,Verse_diac,Verse,Sahih_International,Pickthall,Yusuf_Ali (YA),Shakir,Muhammad_Sarwar (MS),Mohsin_Khan (MK),Arberry,Label
281,83,4,سورة المطففين, l-muṭafifīn ,أَلَا يَظُنُّ أُوْلَٰٓئِكَ أَنَّهُم مَّبۡعُوثُونَ,الا يظن اولٰئك انهم مبعوثون,Do they not think that they will be resurrected,Do such (men) not consider that they will be raised again,Do they not think that they will be called to account?-,Do not these think that they shall be raised again,Do they not realize that they will be resurrected,"Think they not that they will be resurrected (for reckoning),",Do those not think that they shall be raised up,fear
282,27,3,سورة النمل, l-naml ,ٱلَّذِينَ يُقِيمُونَ ٱلصَّلَوٰةَ وَيُؤۡتُونَ ٱلزَّكَوٰةَ وَهُم بِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,الذين يقيمون الصلوٰة ويؤتون الزكوٰة وهم بالاخرة هم يوقنون,"Who establish prayer and give zakah, and of the Hereafter they are certain [in faith].",Who establish worship and pay the poor-due and are sure of the Hereafter.,"Those who establish regular prayers and give in regular charity, and also have (full) assurance of the hereafter.","Who keep up prayer and pay the poor-rate, and of the hereafter, they are sure.","who are steadfast in prayer, who pay the religious tax, and who have strong faith in the life hereafter.","Those who perform As­Salat (Iqamat­as­Salat) and give Zakat and they believe with certainty in the Hereafter (resurrection, recompense of their good and bad deeds, Paradise and Hell, etc.).","who perform the prayer, and pay the alms, and have sure faith in the Hereafter.",joy
283,26,207,سورة الشعراء, l-shuʿarā ,مَآ أَغۡنَىٰ عَنۡهُم مَّا كَانُواْ يُمَتَّعُونَ,ما اغنىٰ عنهم ما كانوا يمتعون,They would not be availed by the enjoyment with which they were provided.,(How) that wherewith they were contented naught availeth them?,It will profit them not that they enjoyed (this life)!,That which they were made to enjoy shall not avail them?,none of their luxuries will be able to save them from the torment?,All that with which they used to enjoy shall not avail them.,"what will it then avail them, the enjoyment of days they were given?",sadness
284,38,77,سورة ص, ṣād,قَالَ فَٱخۡرُجۡ مِنۡهَا فَإِنَّكَ رَجِيمٞ,قال فاخرج منها فانك رجيم,"[Allah] said, ""Then get out of Paradise, for indeed, you are expelled.","He said: Go forth from hence, for lo! thou art outcast,","(Allah) said: ""Then get thee out from here: for thou art rejected, accursed.","He said: Then get out of it, for surely you are driven away:","The Lord said, ""Get out of here. You deserve to be stoned!","(Allah) said: ""Then get out from here, for verily, you are outcast.","Said He, 'Then go thou forth hence; thou art accursed.",anger
285,79,17,سورة النازعات, l-nāziʿāt ,ٱذۡهَبۡ إِلَىٰ فِرۡعَوۡنَ إِنَّهُۥ طَغَىٰ,اذهب الىٰ فرعون انه طغىٰ,"""Go to Pharaoh. Indeed, he has transgressed.",(Saying:) Go thou unto Pharaoh - Lo! he hath rebelled -,"""Go thou to Pharaoh for he has indeed transgressed all bounds:","Go to Firon, surely he has become inordinate.","saying, ""Go to the Pharaoh. He has transgressed beyond all bounds.","Go to Fir'aun (Pharaoh), verily, he has transgressed all bounds (in crimes, sins, polytheism, disbelief, etc.).",'Go to Pharaoh; he has waxed insolent.,anger
286,23,2,سورة المؤمنون, l-mu'minūn ,ٱلَّذِينَ هُمۡ فِي صَلَاتِهِمۡ خَٰشِعُونَ,الذين هم في صلاتهم خٰشعون,They who are during their prayer humbly submissive,"Who are humble in their prayers,",Those who humble themselves in their prayers;,"Who are humble in their prayers,","who are submissive to God in their prayers,",Those who offer their Salat (prayers) with all solemnity and full submissiveness.,who in their prayers are humble,joy
287,28,86,سورة القصص, l-qaṣaṣ ,وَمَا كُنتَ تَرۡجُوٓاْ أَن يُلۡقَىٰٓ إِلَيۡكَ ٱلۡكِتَٰبُ إِلَّا رَحۡمَةٗ مِّن رَّبِّكَۖ فَلَا تَكُونَنَّ ظَهِيرٗا لِّلۡكَٰفِرِينَ,وما كنت ترجوا ان يلقىٰ اليك الكتٰب الا رحمة من ربك فلا تكونن ظهيرا للكٰفرين,"And you were not expecting that the Book would be conveyed to you, but [it is] a mercy from your Lord. So do not be an assistant to the disbelievers.","Thou hadst no hope that the Scripture would be inspired in thee; but it is a mercy from thy Lord, so never be a helper to the disbelievers.",And thou hadst not expected that the Book would be sent to thee except as a Mercy from thy Lord: Therefore lend not thou support in any way to those who reject (Allah's Message).,"And you did not expect that the Book would be inspired to you, but it is a mercy from your Lord, therefore be not a backer-up of the unbelievers.",You had no hope of receiving the Book except by the mercy of your Lord. Do not be a supporter of the unbelievers.,"And you were not expecting that the Book (this Quran) would be sent down to you, but it is a mercy from your Lord. So never be a supporter of the disbelievers.","Thou didst not hope that the Book should be cast unto thee, except it be as a mercy from thy Lord; so be thou not a partisan of the unbelievers.",fear
288,4,67,سورة النساء, l-nisāa ,وَإِذٗا لَّأٓتَيۡنَٰهُم مِّن لَّدُنَّآ أَجۡرًا عَظِيمٗا,واذا لاتينٰهم من لدنا اجرا عظيما,And then We would have given them from Us a great reward.,"And then We should bestow upon them from Our presence an immense reward,",And We should then have given them from our presence a great reward;,And then We would certainly have given them from Ourselves a great reward.,We would have given them a great reward,And indeed We should then have bestowed upon them a great reward from Ourselves.,"and then We surely would have given them from Us a mighty wage,",joy
289,26,182,سورة الشعراء, l-shuʿarā ,وَزِنُواْ بِٱلۡقِسۡطَاسِ ٱلۡمُسۡتَقِيمِ,وزنوا بالقسطاس المستقيم,And weigh with an even balance.,And weigh with the true balance.,"""And weigh with scales true and upright.","And weigh (things) with a right balance,",Weigh your goods with proper balance,"""And weigh with the true and straight balance.","and weigh with the straight balance,",fear
290,15,92,سورة الحجر, l-ḥij'r ,فَوَرَبِّكَ لَنَسۡـَٔلَنَّهُمۡ أَجۡمَعِينَ,فوربك لنسلنهم اجمعين,"So by your Lord, We will surely question them all","Them, by thy Lord, We shall question, every one,","Therefore, by the Lord, We will, of a surety, call them to account,","So, by your Lord, We would most certainly question them all,","By the Lord, We will hold them all responsible","So, by your Lord (O Muhammad SAW), We shall certainly call all of them to account.","Now by thy Lord, We shall surely question them all together",anger
291,51,19,سورة الذاريات, l-dhāriyāt ,وَفِيٓ أَمۡوَٰلِهِمۡ حَقّٞ لِّلسَّآئِلِ وَٱلۡمَحۡرُومِ,وفي اموٰلهم حق للسائل والمحروم,And from their properties was [given] the right of the [needy] petitioner and the deprived.,And in their wealth the beggar and the outcast had due share.,"And in their wealth and possessions (was remembered) the right of the (needy,) him who asked, and him who (for some reason) was prevented (from asking).",And in their property was a portion due to him who begs and to him who is denied (good).,They assigned a share of their property for the needy and the destitute.,"And in their properties there was the right of the beggar, and the Mahrum (the poor who does not ask the others) ,",and the beggar and the outcast had a share in their wealth.,sadness
292,19,63,سورة مريم, maryam ,تِلۡكَ ٱلۡجَنَّةُ ٱلَّتِي نُورِثُ مِنۡ عِبَادِنَا مَن كَانَ تَقِيّٗا,تلك الجنة التي نورث من عبادنا من كان تقيا,"That is Paradise, which We give as inheritance to those of Our servants who were fearing of Allah.",Such is the Garden which We cause the devout among Our bondmen to inherit.,Such is the Garden which We give as an inheritance to those of Our servants who guard against Evil.,This is the garden which We cause those of Our servants to inherit who guard (against evil).,Such are the gardens which We will give to Our God-fearing servants as their inherited property.,Such is the Paradise which We shall give as an inheritance to those of Our slaves who have been Al-Muttaqun (pious and righteous persons - See V.2:2).,That is Paradise which We shall give as an inheritance to those of Our servants who are godfearing.,joy
293,20,39,سورة طه, ṭā hā,أَنِ ٱقۡذِفِيهِ فِي ٱلتَّابُوتِ فَٱقۡذِفِيهِ فِي ٱلۡيَمِّ فَلۡيُلۡقِهِ ٱلۡيَمُّ بِٱلسَّاحِلِ يَأۡخُذۡهُ عَدُوّٞ لِّي وَعَدُوّٞ لَّهُۥۚ وَأَلۡقَيۡتُ عَلَيۡكَ مَحَبَّةٗ مِّنِّي وَلِتُصۡنَعَ عَلَىٰ عَيۡنِيٓ,ان اقذفيه في التابوت فاقذفيه في اليم فليلقه اليم بالساحل ياخذه عدو لي وعدو له والقيت عليك محبة مني ولتصنع علىٰ عيني,"[Saying], 'Cast him into the chest and cast it into the river, and the river will throw it onto the bank; there will take him an enemy to Me and an enemy to him.' And I bestowed upon you love from Me that you would be brought up under My eye.","Saying: Throw him into the ark, and throw it into the river, then the river shall throw it on to the bank, and there an enemy to Me and an enemy to him shall take him. And I endued thee with love from Me that thou mightest be trained according to My will,","""'Throw (the child) into the chest, and throw (the chest) into the river: the river will cast him up on the bank, and he will be taken up by one who is an enemy to Me and an enemy to him': But I cast (the garment of) love over thee from Me: and (this) in order that thou mayest be reared under Mine eye.","Saying: Put him into a chest, then cast it down into the river, then the river shall throw him on the shore; there shall take him up one who is an enemy to Me and enemy to him, and I cast down upon you love from Me, and that you might be brought up before My eyes;",to lace her child in a chest and throw it into the sea which would hurl it towards the shore. Then an enemy of Mine who was also the enemy of the child would pick it up from there. I made you attractive and loveable so that you would be reared before My own eyes.,"""Saying: 'Put him (the child) into the Tabut (a box or a case or a chest) and put it into the river (Nile), then the river shall cast it up on the bank, and there, an enemy of Mine and an enemy of his shall take him.' And I endued you with love from Me, in order that you may be brought up under My Eye,","""Cast him into the ark, and cast him into the river, and let the river throw him up on the shore. An enemy of Mine and his shall take him."" And I loaded on thee love from Me, and to be formed in My sight,",fear
294,23,16,سورة المؤمنون, l-mu'minūn ,ثُمَّ إِنَّكُمۡ يَوۡمَ ٱلۡقِيَٰمَةِ تُبۡعَثُونَ,ثم انكم يوم القيٰمة تبعثون,"Then indeed you, on the Day of Resurrection, will be resurrected.",Then lo! on the Day of Resurrection ye are raised (again).,"Again, on the Day of Judgment, will ye be raised up.",Then surely on the day of resurrection you shall be raised.,and you will be brought back to life again on the Day of Resurrection.,"Then (again), surely, you will be resurrected on the Day of Resurrection.",then on the Day of Resurrection you shall surely be raised up.,fear
295,37,44,سورة الصافات, l-ṣāfāt ,عَلَىٰ سُرُرٖ مُّتَقَٰبِلِينَ,علىٰ سرر متقٰبلين,On thrones facing one another.,On couches facing one another;,Facing each other on Thrones (of Dignity):,"On thrones, facing each other.",on couches facing each other.,"Facing one another on thrones,","upon couches, set face to face,",joy
296,86,9,سورة الطارق, l-ṭāriq ,يَوۡمَ تُبۡلَى ٱلسَّرَآئِرُ,يوم تبلى السرائر,"The Day when secrets will be put on trial,",On the day when hidden thoughts shall be searched out.,"The Day that (all) things secret will be tested,","On the day when hidden things shall be made manifest,","On the day when all secrets will be made public,","The Day when all the secrets (deeds, prayers, fasting, etc.) will be examined (as to their truth).","upon the day when the secrets are tried,",fear
297,21,29,سورة الانبياء, l-anbiyāa ,۞وَمَن يَقُلۡ مِنۡهُمۡ إِنِّيٓ إِلَٰهٞ مِّن دُونِهِۦ فَذَٰلِكَ نَجۡزِيهِ جَهَنَّمَۚ كَذَٰلِكَ نَجۡزِي ٱلظَّٰلِمِينَ,ومن يقل منهم اني الٰه من دونه فذٰلك نجزيه جهنم كذٰلك نجزي الظٰلمين,"And whoever of them should say, ""Indeed, I am a god besides Him""- that one We would recompense with Hell. Thus do We recompense the wrongdoers.","And one of them who should say: Lo! I am a god beside Him, that one We should repay with hell. Thus We Repay wrong-doers.","If any of them should say, ""I am a god besides Him"", such a one We should reward with Hell: thus do We reward those who do wrong.","And whoever of them should say: Surely I am a god besides Him, such a one do We recompense with hell; thus do, We recompense the unjust.","The recompense of those of them who say that they are the Lord instead of God will be hell; thus, do We recompense the unjust ones.","And if any of them should say: ""Verily, I am an ilah (a god) besides Him (Allah),"" such a one We should recompense with Hell. Thus We recompense the Zalimun (polytheists and wrong-doers, etc.).","If any of them says, 'I am a god apart from Him', such a one We recompense with Gehenna; even so We recompense the evildoers.",anger
298,40,73,سورة غافر, ghāfir ,ثُمَّ قِيلَ لَهُمۡ أَيۡنَ مَا كُنتُمۡ تُشۡرِكُونَ,ثم قيل لهم اين ما كنتم تشركون,"Then it will be said to them, ""Where is that which you used to associate [with Him in worship]",Then it is said unto them: Where are (all) that ye used to make partners (in the Sovereignty),"Then shall it be said to them: ""Where are the (deities) to which ye gave part-worship-",Then shall it be said to them: Where is that which you used to set up,"Then they will be asked, ""Where are the idols which you worshipped besides God?""","Then it will be said to them: ""Where are (all) those whom you used to join in worship as partners","then it is said to them, 'Where are those you associated, apart from God?'",fear
299,16,46,سورة النحل, l-naḥl ,أَوۡ يَأۡخُذَهُمۡ فِي تَقَلُّبِهِمۡ فَمَا هُم بِمُعۡجِزِينَ,او ياخذهم في تقلبهم فما هم بمعجزين,"Or that He would not seize them during their [usual] activity, and they could not cause failure?",Or that He will not seize them in their going to and fro so that there be no escape for them?,"Or that He may not call them to account in the midst of their goings to and fro, without a chance of their frustrating Him?-","Or that He may not seize them in the course of their journeys, then shall they not escape;",Are they confident that God will not seize them while they are on a journey? They will not be able to escape from God.,"Or that He may catch them in the midst of their going to and fro (in their jobs), so that there be no escape for them (from Allah's Punishment)?","Or that He will not seize them in their going to and fro, and they will not be able to frustrate Him?",fear
300,31,8,سورة لقمان, luq'mān,إِنَّ ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَهُمۡ جَنَّٰتُ ٱلنَّعِيمِ,ان الذين ءامنوا وعملوا الصٰلحٰت لهم جنٰت النعيم,"Indeed, those who believe and do righteous deeds - for them are the Gardens of Pleasure.","Lo! those who believe and do good works, for them are the gardens of delight,","For those who believe and work righteous deeds, there will be Gardens of Bliss,-","(As for) those who believe and do good, they shall surely have gardens of bliss,",The righteously striving believers will enter Paradise,"Verily, those who believe (in Islamic Monotheism) and do righteous good deeds, for them are Gardens of delight (Paradise).","Surely those who believe, and do deeds of righteousness, there awaits them Gardens of Bliss",joy
301,30,60,سورة الروم, l-rūm ,فَٱصۡبِرۡ إِنَّ وَعۡدَ ٱللَّهِ حَقّٞۖ وَلَا يَسۡتَخِفَّنَّكَ ٱلَّذِينَ لَا يُوقِنُونَ,فاصبر ان وعد الله حق ولا يستخفنك الذين لا يوقنون,"So be patient. Indeed, the promise of Allah is truth. And let them not disquiet you who are not certain [in faith].","So have patience (O Muhammad)! Allah's promise is the very truth, and let not those who have no certainty make thee impatient.","So patiently persevere: for verily the promise of Allah is true: nor let those shake thy firmness, who have (themselves) no certainty of faith.",Therefore be patient; surely the promise of Allah is true and let not those who have no certainty hold you in light estimation.,Be patient. The promise of God is certainly true. Let not the faithless make you despair of the promise of God.,"So be patient (O Muhammad SAW). Verily, the Promise of Allah is true, and let not those who have no certainty of faith, discourage you from conveying Allah's Message (which you are obliged to convey).",So be thou patient; surely God's promise is true; and let not those who have not sure faith make thee unsteady.,sadness
302,20,126,سورة طه, ṭā hā,قَالَ كَذَٰلِكَ أَتَتۡكَ ءَايَٰتُنَا فَنَسِيتَهَاۖ وَكَذَٰلِكَ ٱلۡيَوۡمَ تُنسَىٰ,قال كذٰلك اتتك ءايٰتنا فنسيتها وكذٰلك اليوم تنسىٰ,"[Allah] will say, ""Thus did Our signs come to you, and you forgot them; and thus will you this Day be forgotten.""",He will say: So (it must be). Our revelations came unto thee but thou didst forget them. In like manner thou art forgotten this Day.,"(Allah) will say: ""Thus didst Thou, when Our Signs came unto thee, disregard them: so wilt thou, this day, be disregarded.""","He will say: Even so, Our communications came to you but you neglected them; even thus shall you be forsaken this day.","The Lord will say, ""This is true. But just as you forgot Our revelations that had come to you, so, too, are you forgotten on this day.""","(Allah) will say: ""Like this, Our Ayat (proofs, evidences, verses, lessons, signs, revelations, etc.) came unto you, but you disregarded them (i.e. you left them, did not think deeply in them, and you turned away from them), and so this Day, you will be neglected (in the Hell-fire, away from Allah's Mercy).""","God shall say, 'Even so it is. Our signs came unto thee, and thou didst forget them; and so today thou art forgotten.'",anger
303,104,1,سورة الهمزة, l-humazah ,وَيۡلٞ لِّكُلِّ هُمَزَةٖ لُّمَزَةٍ,ويل لكل همزة لمزة,Woe to every scorner and mocker,"Woe unto every slandering traducer,","Woe to every (kind of) scandal-monger and-backbiter,","Woe to every slanderer, defamer,",Woe to every slanderer and backbiter,Woe to every slanderer and backbiter.,"Woe unto every backbiter, slanderer,",fear
304,43,43,سورة الزخرف, l-zukh'ruf ,فَٱسۡتَمۡسِكۡ بِٱلَّذِيٓ أُوحِيَ إِلَيۡكَۖ إِنَّكَ عَلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ,فاستمسك بالذي اوحي اليك انك علىٰ صرٰط مستقيم,"So adhere to that which is revealed to you. Indeed, you are on a straight path.",So hold thou fast to that which is inspired in thee. Lo! thou art on a right path.,So hold thou fast to the Revelation sent down to thee; verily thou art on a Straight Way.,Therefore hold fast to that which has been revealed to you; surely you are on the right path.,Follow devotedly that which is revealed to you. You are certainly on the right path.,"So hold you (O Muhammad SAW) fast to that which is inspired in you. Verily, you are on a Straight Path.",So hold thou fast unto that which has been revealed unto thee; surely thou art upon a straight path.,joy
305,18,54,سورة الكهف, l-kahf ,وَلَقَدۡ صَرَّفۡنَا فِي هَٰذَا ٱلۡقُرۡءَانِ لِلنَّاسِ مِن كُلِّ مَثَلٖۚ وَكَانَ ٱلۡإِنسَٰنُ أَكۡثَرَ شَيۡءٖ جَدَلٗا,ولقد صرفنا في هٰذا القرءان للناس من كل مثل وكان الانسٰن اكثر شيء جدلا,"And We have certainly diversified in this Qur'an for the people from every [kind of] example; but man has ever been, most of anything, [prone to] dispute.","And verily We have displayed for mankind in this Qur'an all manner of similitudes, but man is more than anything contentious.","We have explained in detail in this Qur'an, for the benefit of mankind, every kind of similitude: but man is, in most things, contentious.","And certainly We have explained in this Quran every kind of example, and man is most of all given to contention.","We have given various examples in this Quran for people to learn a lesson, but the human being is the most contentious creature.","And indeed We have put forth every kind of example in this Quran, for mankind. But, man is ever more quarrelsome than anything.",We have indeed turned about for men in this Koran every manner of similitude; man is the most disputatious of things.,sadness
306,22,19,سورة الحج, l-ḥaj ,۞هَٰذَانِ خَصۡمَانِ ٱخۡتَصَمُواْ فِي رَبِّهِمۡۖ فَٱلَّذِينَ كَفَرُواْ قُطِّعَتۡ لَهُمۡ ثِيَابٞ مِّن نَّارٖ يُصَبُّ مِن فَوۡقِ رُءُوسِهِمُ ٱلۡحَمِيمُ,هٰذان خصمان اختصموا في ربهم فالذين كفروا قطعت لهم ثياب من نار يصب من فوق رءوسهم الحميم,These are two adversaries who have disputed over their Lord. But those who disbelieved will have cut out for them garments of fire. Poured upon their heads will be scalding water,"These twain (the believers and the disbelievers) are two opponents who contend concerning their Lord. But as for those who disbelieve, garments of fire will be cut out for them; boiling fluid will be poured down on their heads,","These two antagonists dispute with each other about their Lord: But those who deny (their Lord),- for them will be cut out a garment of Fire: over their heads will be poured out boiling water.","These are two adversaries who dispute about their Lord; then (as to) those who disbelieve, for them are cut out garments of fire, boiling water shall be poured over their heads.",(Those who prostrate themselves before God and those who do not) are two groups who dispute with each other about their Lord. For the unbelievers the garment of fire has already been prepared. Boiling water will be poured upon their heads.,"These two opponents (believers and disbelievers) dispute with each other about their Lord; then as for those who disbelieve, garments of fire will be cut out for them, boiling water will be poured down over their heads.","These are two disputants who have disputed concerning their Lord. As for the unbelievers, for them garments of fire shall, be cut, and there shall be poured over their heads boiling water",anger
307,17,44,سورة الاسراء, l-isrā ,تُسَبِّحُ لَهُ ٱلسَّمَٰوَٰتُ ٱلسَّبۡعُ وَٱلۡأَرۡضُ وَمَن فِيهِنَّۚ وَإِن مِّن شَيۡءٍ إِلَّا يُسَبِّحُ بِحَمۡدِهِۦ وَلَٰكِن لَّا تَفۡقَهُونَ تَسۡبِيحَهُمۡۚ إِنَّهُۥ كَانَ حَلِيمًا غَفُورٗا,تسبح له السمٰوٰت السبع والارض ومن فيهن وان من شيء الا يسبح بحمده ولٰكن لا تفقهون تسبيحهم انه كان حليما غفورا,"The seven heavens and the earth and whatever is in them exalt Him. And there is not a thing except that it exalts [Allah] by His praise, but you do not understand their [way of] exalting. Indeed, He is ever Forbearing and Forgiving.","The seven heavens and the earth and all that is therein praise Him, and there is not a thing but hymneth His praise; but ye understand not their praise. Lo! He is ever Clement, Forgiving.","The seven heavens and the earth, and all beings therein, declare His glory: there is not a thing but celebrates His praise; And yet ye understand not how they declare His glory! Verily He is Oft-Forbear, Most Forgiving!","The seven heavens declare His glory and the earth (too), and those who are in them; and there is not a single thing but glorifies Him with His praise, but you do not understand their glorification; surely He is Forbearing, Forgiving.","The seven heavens, the earth, and whatever is between them all glorify Him. There is nothing that does not glorify Him and always praise him, but you do not understand their praise and glorification. He is All-forbearing and All-forgiving.","The seven heavens and the earth and all that is therein, glorify Him and there is not a thing but glorifies His Praise. But you understand not their glorification. Truly, He is Ever Forbearing, Oft-Forgiving.","The seven heavens and the earth, and whosoever in them is, extol Him; nothing is, that does not proclaim His praise, but you do not understand their extolling. Surely He is All-clement, All-forgiving.",joy
308,8,20,سورة الانفال, l-anfāl ,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ أَطِيعُواْ ٱللَّهَ وَرَسُولَهُۥ وَلَا تَوَلَّوۡاْ عَنۡهُ وَأَنتُمۡ تَسۡمَعُونَ,يٰايها الذين ءامنوا اطيعوا الله ورسوله ولا تولوا عنه وانتم تسمعون,"O you who have believed, obey Allah and His Messenger and do not turn from him while you hear [his order].","O ye who believe! Obey Allah and His messenger, and turn not away from him when ye hear (him speak).","O ye who believe! Obey Allah and His Messenger, and turn not away from him when ye hear (him speak).",O you who believe! obey Allah and His Messenger and do not turn back from Him while you hear.,"Believers, obey God and His Messengers and do not turn away from Him when you hear (His commands).","O you who believe! Obey Allah and His Messenger, and turn not away from him (i.e. Messenger Muhammad SAW) while you are hearing.","O believers, obey God and His Messenger, and do not turn away from Him, even as you are listening;",fear
309,84,8,سورة الانشقاق, l-inshiqāq ,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,فسوف يحاسب حسابا يسيرا,He will be judged with an easy account,He truly will receive an easy reckoning,"Soon will his account be taken by an easy reckoning,","He shall be reckoned with by an easy reckoning,","will be easy,","He surely will receive an easy reckoning,",he shall surely receive an easy reckoning,joy
310,26,82,سورة الشعراء, l-shuʿarā ,وَٱلَّذِيٓ أَطۡمَعُ أَن يَغۡفِرَ لِي خَطِيٓـَٔتِي يَوۡمَ ٱلدِّينِ,والذي اطمع ان يغفر لي خطيتي يوم الدين,"And who I aspire that He will forgive me my sin on the Day of Recompense.""","And Who, I ardently hope, will forgive me my sin on the Day of Judgment.","""And who, I hope, will forgive me my faults on the day of Judgment.","And Who, I hope, will forgive me my mistakes on the day of judgment.",It is He whom I expect to forgive my sins on the Day of Judgment.,"""And Who, I hope will forgive me my faults on the Day of Recompense, (the Day of Resurrection),""",and who I am eager shall forgive me my offence on the Day of Doom.,fear
311,55,15,سورة الرحمٰن, l-raḥmān ,وَخَلَقَ ٱلۡجَآنَّ مِن مَّارِجٖ مِّن نَّارٖ,وخلق الجان من مارج من نار,And He created the jinn from a smokeless flame of fire.,And the jinn did He create of smokeless fire.,And He created Jinns from fire free of smoke:,And He created the jinn of a flame of fire.,and jinn from the many colored flames of fire.,And the jinns did He create from a smokeless flame of fire.,and He created the jinn of a smokeless fire.,fear
312,12,92,سورة يوسف, yūsuf ,قَالَ لَا تَثۡرِيبَ عَلَيۡكُمُ ٱلۡيَوۡمَۖ يَغۡفِرُ ٱللَّهُ لَكُمۡۖ وَهُوَ أَرۡحَمُ ٱلرَّٰحِمِينَ,قال لا تثريب عليكم اليوم يغفر الله لكم وهو ارحم الرٰحمين,"He said, ""No blame will there be upon you today. Allah will forgive you; and He is the most merciful of the merciful.""","He said: Have no fear this day! May Allah forgive you, and He is the Most Merciful of those who show mercy.","He said: ""This day let no reproach be (cast) on you: Allah will forgive you, and He is the Most Merciful of those who show mercy!","He said: (There shall be) no reproof against you this day; Allah may forgive you, and He is the most Merciful of the merciful.","(Joseph) said, ""No one will blame you on this day. God will forgive you; He is more Merciful than others.","He said: ""No reproach on you this day, may Allah forgive you, and He is the Most Merciful of those who show mercy!","He said, 'No reproach this day shall be on you; God will forgive you; He is the most merciful of the merciful.",joy
313,21,32,سورة الانبياء, l-anbiyāa ,وَجَعَلۡنَا ٱلسَّمَآءَ سَقۡفٗا مَّحۡفُوظٗاۖ وَهُمۡ عَنۡ ءَايَٰتِهَا مُعۡرِضُونَ,وجعلنا السماء سقفا محفوظا وهم عن ءايٰتها معرضون,"And We made the sky a protected ceiling, but they, from its signs, are turning away.",And we have made the sky a roof withheld (from them). Yet they turn away from its portents.,And We have made the heavens as a canopy well guarded: yet do they turn away from the Signs which these things (point to)!,And We have made the heaven a guarded canopy and (yet) they turn aside from its signs.,"We made the sky above them as a well-guarded ceiling, but they have neglected the evidence (of Our existence) therein.","And We have made the heaven a roof, safe and well guarded. Yet they turn away from its signs (i.e. sun, moon, winds, clouds, etc.).",and We set up the heaven as a roof well-protected; yet still from Our signs they are turning away.,joy
314,45,3,سورة الجاثية, l-jāthiyah ,إِنَّ فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ لَأٓيَٰتٖ لِّلۡمُؤۡمِنِينَ,ان في السمٰوٰت والارض لايٰت للمؤمنين,"Indeed, within the heavens and earth are signs for the believers.",Lo! in the heavens and the earth are portents for believers.,"Verily in the heavens and the earth, are Signs for those who believe.",Most surely in the heavens and the earth there are signs for the believers.,In the heavens and the earth there is evidence (of the Truth) for the believers.,"Verily, in the heavens and the earth are signs for the believers.",Surely in the heavens and earth there are signs for the believers;,fear
315,24,36,سورة النور, l-nūr ,فِي بُيُوتٍ أَذِنَ ٱللَّهُ أَن تُرۡفَعَ وَيُذۡكَرَ فِيهَا ٱسۡمُهُۥ يُسَبِّحُ لَهُۥ فِيهَا بِٱلۡغُدُوِّ وَٱلۡأٓصَالِ,في بيوت اذن الله ان ترفع ويذكر فيها اسمه يسبح له فيها بالغدو والاصال,[Such niches are] in mosques which Allah has ordered to be raised and that His name be mentioned therein; exalting Him within them in the morning and the evenings,(This lamp is found) in houses which Allah hath allowed to be exalted and that His name shall be remembered therein. Therein do offer praise to Him at morn and evening.,"(Lit is such a Light) in houses, which Allah hath permitted to be raised to honour; for the celebration, in them, of His name: In them is He glorified in the mornings and in the evenings, (again and again),-","In houses which Allah has permitted to be exalted and that His name may be remembered in them; there glorify Him therein in the mornings and the evenings,",(This niche) is in the houses that God has declared to be highly respected and His Name be mentioned therein in glory in the morning and evening,"In houses (mosques), which Allah has ordered to be raised (to be cleaned, and to be honoured), in them His Name is glorified in the mornings and in the afternoons or the evenings,","in temples God has allowed to be raised up, and His Name to be commemorated therein; therein glorifying Him, in the mornings and the evenings,",joy
316,20,84,سورة طه, ṭā hā,قَالَ هُمۡ أُوْلَآءِ عَلَىٰٓ أَثَرِي وَعَجِلۡتُ إِلَيۡكَ رَبِّ لِتَرۡضَىٰ,قال هم اولاء علىٰ اثري وعجلت اليك رب لترضىٰ,"He said, ""They are close upon my tracks, and I hastened to You, my Lord, that You be pleased.""","He said: They are close upon my track. I hastened unto Thee, my Lord, that Thou mightest be well pleased.","He replied: ""Behold, they are close on my footsteps: I hastened to thee, O my Lord, to please thee.""","He said: They are here on my track and I hastened on to Thee, my Lord, that Thou mightest be pleased.","Moses replied, ""They are just behind me. I came earlier to seek Your pleasure"".","He said: ""They are close on my footsteps, and I hastened to You, O my Lord, that You might be pleased.""","'They are upon my tracks,' Moses said. 'I have hastened, Lord, only that I may please Thee.'",sadness
