Surah,Ayah,Arabic,Urdu,English,Tags,Category,Emotion,Context
7,99,أَفَأَمِنُوا مَكْرَ اللَّهِ ۚ فَلَا يَأْمَنُ مَكْرَ اللَّهِ إِلَّا الْقَوْمُ الْخَاسِرُونَ,کیا یہ لوگ خدا کے داؤ کا ڈر نہیں رکھتے (سن لو کہ) خدا کے داؤ سے وہی لوگ نڈر ہوتے ہیں جو خسارہ پانے والے ہیں,Are they then secure from Allah’s scheme ? None deemeth himself secure from Allah’s scheme save folk that perish.,"Fear, Punishment, Disbelief, Guidance, Power, Wisdom",Divine Attributes & Signs (Asma wa Sifat),Fear,Spiritual reminder
7,100,أَوَلَمْ يَهْدِ لِلَّذِينَ يَرِثُونَ الْأَرْضَ مِنْ بَعْدِ أَهْلِهَا أَنْ لَوْ نَشَاءُ أَصَبْنَاهُمْ بِذُنُوبِهِمْ ۚ وَنَطْبَعُ عَلَىٰ قُلُوبِهِمْ فَهُمْ لَا يَسْمَعُونَ,کیا ان لوگوں کو جو اہلِ زمین کے (مرجانے کے) بعد زمین کے مالک ہوتے ہیں، یہ امر موجب ہدایت نہیں ہوا کہ اگر ہم چاہیں تو ان کے گناہوں کے سبب ان پر مصیبت ڈال دیں۔ اور ان کے دلوں پر مہر لگادیں کہ کچھ سن ہی نہ سکیں,"Is it not an indication to those who inherit the land after its people (who thus reaped the consequence of evil-doing) that, if We will, We can smite them for their sins and print upon their hearts so that they hear not ?","Lessons from history, Punishment, Guidance, Misguidance, Power, Wisdom",History & Stories (Qasas al-Anbiya),Fear,Spiritual reminder
7,101,تِلْكَ الْقُرَىٰ نَقُصُّ عَلَيْكَ مِنْ أَنْبَائِهَا ۚ وَلَقَدْ جَاءَتْهُمْ رُسُلُهُمْ بِالْبَيِّنَاتِ فَمَا كَانُوا لِيُؤْمِنُوا بِمَا كَذَّبُوا مِنْ قَبْلُ ۚ كَذَٰلِكَ يَطْبَعُ اللَّهُ عَلَىٰ قُلُوبِ الْكَافِرِينَ,یہ بستیاں ہیں جن کے کچھ حالات ہم تم کو سناتے ہیں۔ اور ان کے پاس ان کے پیغمبر نشانیاں لے کر آئے۔ مگر وہ ایسے نہیں تھے کہ جس چیز کو پہلے جھٹلا چکے ہوں اسے مان لیں اسی طرح خدا کافروں کے دلوں پر مہر لگا دیتا ہے,"Such were the townships. We relate some tidings of them unto thee (Muhammad). Their messengers verily came unto them with clear proofs (of Allah’s Sovereignty), but they could not believe because they had before denied. Thus doth Allah print upon the hearts of disbelievers (that they hear not).","Prophets, Nations, Lessons from history, Disbelief, Punishment, Guidance, Misguidance",History & Stories (Qasas al-Anbiya),Sadness,Historical story
7,102,وَمَا وَجَدْنَا لِأَكْثَرِهِمْ مِنْ عَهْدٍ ۖ وَإِنْ وَجَدْنَا أَكْثَرَهُمْ لَفَاسِقِينَ,اور ہم نے ان میں سے اکثروں میں (عہد کا نباہ) نہیں دیکھا۔ اور ان میں اکثروں کو (دیکھا تو) بدکار ہی دیکھا,"We found no (loyalty to any) covenant in most of them. Nay, most of them We found wrong-doers.","Prophets, Nations, Lessons from history, Disbelief, Hypocrisy",History & Stories (Qasas al-Anbiya),Sadness,Historical story
7,103,ثُمَّ بَعَثْنَا مِنْ بَعْدِهِمْ مُوسَىٰ بِآيَاتِنَا إِلَىٰ فِرْعَوْنَ وَمَلَئِهِ فَظَلَمُوا بِهَا ۖ فَانْظُرْ كَيْفَ كَانَ عَاقِبَةُ الْمُفْسِدِينَ,پھر ان (پیغمبروں) کے بعد ہم نے موسیٰ کو نشانیاں دے کر فرعون اور اس کے اعیانِ سلطنت کے پاس بھیجا تو انہوں نے ان کے ساتھ کفر کیا۔ سو دیکھ لو کہ خرابی کرنے والوں کا انجام کیا ہوا,"Then, after them, We sent Moses with our tokens unto Pharaoh and his chiefs, but they repelled them. Now, see the nature of the consequence for the corrupters!","Prophethood, Prophets, Nations, Lessons from history, Disbelief, Punishment, Guidance, Misguidance",History & Stories (Qasas al-Anbiya),Fear,Historical story
7,104,وَقَالَ مُوسَىٰ يَا فِرْعَوْنُ إِنِّي رَسُولٌ مِنْ رَبِّ الْعَالَمِينَ,اور موسیٰ نے کہا کہ اے فرعون میں رب العالمین کا پیغمبر ہوں,"Moses said: O Pharaoh! Lo! I am a messenger from the Lord of the Worlds,","Prophethood, Tawheed, Prophets, Guidance, Disbelief",History & Stories (Qasas al-Anbiya),Determination,Historical story
7,105,حَقِيقٌ عَلَىٰ أَنْ لَا أَقُولَ عَلَى اللَّهِ إِلَّا الْحَقَّ ۚ قَدْ جِئْتُكُمْ بِبَيِّنَةٍ مِنْ رَبِّكُمْ فَأَرْسِلْ مَعِيَ بَنِي إِسْرَائِيلَ,مجھ پر واجب ہے کہ خدا کی طرف سے جو کچھ کہوں سچ ہی کہوں۔ میں تمہارے پاس تمہارے پروردگار کی طرف سے نشانی لے کر آیا ہوں۔ سو بنی اسرائیل کو میرے ساتھ جانے کی رخصت دے دیجیے,Approved upon condition that I speak concerning Allah nothing but the truth. I come unto you (lords of Egypt) with a clear proof from your Lord. So let the Children of Israel go with me.,"Prophethood, Revelation, Prophets, Guidance, Honesty",History & Stories (Qasas al-Anbiya),Determination,Historical story
7,106,قَالَ إِنْ كُنْتَ جِئْتَ بِآيَةٍ فَأْتِ بِهَا إِنْ كُنْتَ مِنَ الصَّادِقِينَ,فرعون نے کہا اگر تم نشانی لے کر آئے ہو تو اگر سچے ہو تو لاؤ (دکھاؤ),"(Pharaoh) said: If thou comest with a token, then produce it, if thou art of those who speak the truth.","Prophethood, Revelation, Disbelief, Prophets, Lessons from history",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,107,فَأَلْقَىٰ عَصَاهُ فَإِذَا هِيَ ثُعْبَانٌ مُبِينٌ,موسیٰ نے اپنی لاٹھی (زمین پر) ڈال دی تو وہ اسی وقت صریح اژدھا (ہوگیا),Then he flung down his staff and lo! it was a serpent manifest;,"Prophethood, Prophets, Divine Attributes & Signs, Power, Guidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,108,وَنَزَعَ يَدَهُ فَإِذَا هِيَ بَيْضَاءُ لِلنَّاظِرِينَ,اور اپنا ہاتھ باہر نکالا تو اسی دم دیکھنے والوں کی نگاہوں میں سفید براق (تھا),"And he drew forth his hand (from his bosom), and lo! it was white for the beholders.","Prophethood, Revelation, Prophets, Divine Attributes & Signs, Guidance, Power, Miracle",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,109,قَالَ الْمَلَأُ مِنْ قَوْمِ فِرْعَوْنَ إِنَّ هَٰذَا لَسَاحِرٌ عَلِيمٌ,تو قوم فرعون میں جو سردار تھے وہ کہنے لگے کہ یہ بڑا علامہ جادوگر ہے,"The chiefs of Pharaoh’s people said: Lo! this is some knowing wizard,","Prophethood, Disbelief, Hypocrisy, Power, Wisdom, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,110,يُرِيدُ أَنْ يُخْرِجَكُمْ مِنْ أَرْضِكُمْ ۖ فَمَاذَا تَأْمُرُونَ,اس کا ارادہ یہ ہے کہ تم کو تمہارے ملک سے نکال دے۔ بھلا تمہاری کیا صلاح ہے؟,Who would expel you from your land. Now what do ye advise ?,"Prophets, Nations, Lessons from history, Disbelief, Guidance, Fear",History & Stories (Qasas al-Anbiya),Fear,Historical story
7,111,قَالُوا أَرْجِهْ وَأَخَاهُ وَأَرْسِلْ فِي الْمَدَائِنِ حَاشِرِينَ,انہوں نے (فرعون سے) کہا کہ فی الحال موسیٰ اور اس کے بھائی کے معاملے کو معاف رکھیے اور شہروں میں نقیب روانہ کر دیجیے,"They said (unto Pharaoh): Put him off (a while) - him and his brother - and send into the cities summoners,","Prophethood, Prophets, Lessons from history, Power, Misguidance",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,112,يَأْتُوكَ بِكُلِّ سَاحِرٍ عَلِيمٍ,کہ تمام ماہر جادوگروں کو آپ کے پاس لے آئیں,To bring each knowing wizard unto thee.,"Prophets, Knowledge, Power, Wisdom, Disbelief",History & Stories (Qasas al-Anbiya),Determination,Historical story
7,113,وَجَاءَ السَّحَرَةُ فِرْعَوْنَ قَالُوا إِنَّ لَنَا لَأَجْرًا إِنْ كُنَّا نَحْنُ الْغَالِبِينَ,(چنانچہ ایسا ہی کیا گیا) اور جادوگر فرعون کے پاس آپہنچے اور کہنے لگے کہ اگر ہم جیت گئے تو ہمیں صلہ عطا کیا جائے,"And the wizards came to Pharaoh, saying: Surely there will be a reward for us if we are victors.","Prophets, Nations, Lessons from history, Disbelief, Power, Reward",History & Stories (Qasas al-Anbiya),Hope,Historical story
7,114,قَالَ نَعَمْ وَإِنَّكُمْ لَمِنَ الْمُقَرَّبِينَ,(فرعون نے) کہا ہاں (ضرور) اور (اس کے علاوہ) تم مقربوں میں داخل کرلیے جاؤ گے,"He answered: Yes, and surely ye shall be of those brought near (to me).","Prophets, Power, Lessons from history",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,115,قَالُوا يَا مُوسَىٰ إِمَّا أَنْ تُلْقِيَ وَإِمَّا أَنْ نَكُونَ نَحْنُ الْمُلْقِينَ,(جب فریقین روزِ مقررہ پر جمع ہوئے تو) جادوگروں نے کہا کہ موسیٰ یا تو تم (جادو کی چیز) ڈالو یا ہم ڈالتے ہیں,They said: O Moses! Either throw (first) or let us be the first throwers ?,"Prophethood, Prophets, Lessons from history, Guidance, Misguidance",History & Stories (Qasas al-Anbiya),Determination,Historical story
7,116,قَالَ أَلْقُوا ۖ فَلَمَّا أَلْقَوْا سَحَرُوا أَعْيُنَ النَّاسِ وَاسْتَرْهَبُوهُمْ وَجَاءُوا بِسِحْرٍ عَظِيمٍ,(موسیٰ نے) کہا تم ہی ڈالو۔ جب انہوں نے (جادو کی چیزیں) ڈالیں تو لوگوں کی آنکھوں پر جادو کردیا (یعنی نظربندی کردی) اور (لاٹھیوں اور رسیوں کے سانپ بنا بنا کر) انہیں ڈرا دیا اور بہت بڑا جادو دکھایا,"He said: Throw! And when they threw they cast a spell upon the people’s eyes, and overawed them, and produced a mighty spell.","Prophethood, Prophets, Lessons from history, Power, Misguidance, Guidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,117,وَأَوْحَيْنَا إِلَىٰ مُوسَىٰ أَنْ أَلْقِ عَصَاكَ ۖ فَإِذَا هِيَ تَلْقَفُ مَا يَأْفِكُونَ,(اس وقت) ہم نے موسیٰ کی طرف وحی بھیجی کہ تم بھی اپنی لاٹھی ڈال دو۔ وہ فوراً (سانپ بن کر) جادوگروں کے بنائے ہوئے سانپوں کو (ایک ایک کرکے) نگل جائے گی,And We inspired Moses (saying): Throw thy staff! And lo! it swallowed up their lying show.,"Prophethood, Revelation, Prophets, Power, Guidance, Lessons from history",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,118,فَوَقَعَ الْحَقُّ وَبَطَلَ مَا كَانُوا يَعْمَلُونَ,(پھر) تو حق ثابت ہوگیا اور جو کچھ فرعونی کرتے تھے، باطل ہوگیا,Thus was the Truth vindicated and that which they were doing was made vain,"Prophethood, Lessons from history, Disbelief, Guidance, Power, Wisdom",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,119,فَغُلِبُوا هُنَالِكَ وَانْقَلَبُوا صَاغِرِينَ,اور وہ مغلوب ہوگئے اور ذلیل ہوکر رہ گئے,Thus were they there defeated and brought low.,"Prophets, Lessons from history, Power, Disbelief, Punishment, Guidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,120,وَأُلْقِيَ السَّحَرَةُ سَاجِدِينَ,(یہ کیفیت دیکھ کر) جادوگر سجدے میں گر پڑے,"And the wizards fell down prostrate,","Prophethood, Prophets, Lessons from history, Faith, Humility, Power, Guidance",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,121,قَالُوا آمَنَّا بِرَبِّ الْعَالَمِينَ,اور کہنے لگے کہ ہم جہان کے پروردگار پر ایمان لائے,"Crying: We believe in the Lord of the Worlds,","Tawheed, Faith, Prophethood, Guidance",Faith (Aqeedah),Determination,Historical story
7,122,رَبِّ مُوسَىٰ وَهَارُونَ,یعنی موسیٰ اور ہارون کے پروردگار پر,The Lord of Moses and Aaron.,"Prophethood, Prophets, Dua, Faith","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Faith,Historical story
7,123,قَالَ فِرْعَوْنُ آمَنْتُمْ بِهِ قَبْلَ أَنْ آذَنَ لَكُمْ ۖ إِنَّ هَٰذَا لَمَكْرٌ مَكَرْتُمُوهُ فِي الْمَدِينَةِ لِتُخْرِجُوا مِنْهَا أَهْلَهَا ۖ فَسَوْفَ تَعْلَمُونَ,فرعون نے کہا کہ پیشتر اس کے کہ میں تمہیں اجازت دوں تم اس پر ایمان لے آئے؟ بےشک یہ فریب ہے جو تم نے مل کر شہر میں کیا ہے تاکہ اہلِ شہر کو یہاں سے نکال دو۔ سو عنقریب (اس کا نتیجہ) معلوم کرلو گے,Pharaoh said: Ye believe in Him before I give you leave! Lo! this is the plot that ye have plotted in the city that ye may drive its people hence. But ye shall come to know!,"Prophethood, Disbelief, Hypocrisy, Power, Misguidance, Lessons from history, Punishment",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,124,لَأُقَطِّعَنَّ أَيْدِيَكُمْ وَأَرْجُلَكُمْ مِنْ خِلَافٍ ثُمَّ لَأُصَلِّبَنَّكُمْ أَجْمَعِينَ,میں (پہلے تو) تمہارے ایک طرف کے ہاتھ اور دوسری طرف کے پاؤں کٹوا دوں گا پھر تم سب کو سولی چڑھوا دوں گا,Surely I shall have your hands and feet cut off upon alternate sides. Then I shall crucify you every one.,"Punishment, Power, Prophets, Disbelief, Lessons from history",History & Stories (Qasas al-Anbiya),Fear,Historical story
7,125,قَالُوا إِنَّا إِلَىٰ رَبِّنَا مُنْقَلِبُونَ,وہ بولے کہ ہم تو اپنے پروردگار کی طرف لوٹ کر جانے والے ہیں,They said: Lo! We are about to return unto our Lord!,"Resurrection, Accountability, Faith, Prophets, Lessons from history",History & Stories (Qasas al-Anbiya),Fear,Historical story
7,126,وَمَا تَنْقِمُ مِنَّا إِلَّا أَنْ آمَنَّا بِآيَاتِ رَبِّنَا لَمَّا جَاءَتْنَا ۚ رَبَّنَا أَفْرِغْ عَلَيْنَا صَبْرًا وَتَوَفَّنَا مُسْلِمِينَ,اور اس کے سوا تجھ کو ہماری کون سی بات بری لگی ہے کہ جب ہمارے پروردگار کی نشانیاں ہمارے پاس آگئیں تو ہم ان پر ایمان لے آئے۔ اے پروردگار ہم پر صبرواستقامت کے دہانے کھول دے اور ہمیں (ماریو تو) مسلمان ہی ماریو,Thou takest vengeance on us only forasmuch as we believed the tokens of our Lord when they came unto us. Our Lord! Vouchsafe unto us steadfastness and make us die as men who have surrendered (unto Thee).,"Faith, Revelation, Patience, Dua, Prophets, Lessons from history","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)","Hope, Patience, Repentance",Historical story
7,127,وَقَالَ الْمَلَأُ مِنْ قَوْمِ فِرْعَوْنَ أَتَذَرُ مُوسَىٰ وَقَوْمَهُ لِيُفْسِدُوا فِي الْأَرْضِ وَيَذَرَكَ وَآلِهَتَكَ ۚ قَالَ سَنُقَتِّلُ أَبْنَاءَهُمْ وَنَسْتَحْيِي نِسَاءَهُمْ وَإِنَّا فَوْقَهُمْ قَاهِرُونَ,اور قومِ فرعون میں جو سردار تھے کہنے لگے کہ کیا آپ موسیٰ اور اس کی قوم کو چھوڑ دیجیے گا کہ ملک میں خرابی کریں اور آپ سے اور آپ کے معبودوں سے دست کش ہوجائیں۔ وہ بولے کہ ہم ان کے لڑکوں کو قتل کرڈالیں گے اور لڑکیوں کو زندہ رہنے دیں گے اور بےشک ہم ان پر غالب ہیں,"The chiefs of Pharaoh’s people said: (O King), wilt thou suffer Moses and his people to make mischief in the land, and flout thee and thy gods ? He said: We will slay their sons and spare their women, for lo! we are in power over them.","Prophethood, Disbelief, Punishment, Power, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,128,قَالَ مُوسَىٰ لِقَوْمِهِ اسْتَعِينُوا بِاللَّهِ وَاصْبِرُوا ۖ إِنَّ الْأَرْضَ لِلَّهِ يُورِثُهَا مَنْ يَشَاءُ مِنْ عِبَادِهِ ۖ وَالْعَاقِبَةُ لِلْمُتَّقِينَ,موسیٰ نے اپنی قوم سے کہا کہ خدا سے مدد مانگو اور ثابت قدم رہو۔ زمین تو خدا کی ہے۔ وہ اپنے بندوں میں سے جسے چاہتا ہے اس کا مالک بناتا ہے۔ اور آخر بھلا تو ڈرنے والوں کا ہے,And Moses said unto his people: Seek help in Allah and endure. Lo! the earth is Allah’s. He giveth it for an inheritance to whom He will. And lo! the sequel is for those who keep their duty (unto Him).,"Prophethood, Patience, Dua, Hope, Guidance, Faith, Mercy, Reward","Supplication & Spirituality (Dua, Dhikr, Tazkiyah)",Hope,Historical story
7,129,قَالُوا أُوذِينَا مِنْ قَبْلِ أَنْ تَأْتِيَنَا وَمِنْ بَعْدِ مَا جِئْتَنَا ۚ قَالَ عَسَىٰ رَبُّكُمْ أَنْ يُهْلِكَ عَدُوَّكُمْ وَيَسْتَخْلِفَكُمْ فِي الْأَرْضِ فَيَنْظُرَ كَيْفَ تَعْمَلُونَ,وہ بولے کہ تمہارے آنے سے پہلے بھی ہم کو اذیتیں پہنچتی رہیں اور آنے کے بعد بھی۔ موسیٰ نے کہا کہ قریب ہے کہ تمہارا پروردگار تمہارے دشمن کو ہلاک کردے اور اس کی جگہ تمہیں زمین میں خلیفہ بنائے پھر دیکھے کہ تم کیسے عمل کرتے ہو,"They said: We suffered hurt before thou camest unto us, and since thou hast come unto us. He said: It may be that your Lord is going to destroy your adversary and make you viceroys in the earth, that He may see how ye behave.","Prophethood, Prophets, Nations, Lessons from history, Hope, Guidance, Mercy, Power",History & Stories (Qasas al-Anbiya),Hope,Historical story
7,130,وَلَقَدْ أَخَذْنَا آلَ فِرْعَوْنَ بِالسِّنِينَ وَنَقْصٍ مِنَ الثَّمَرَاتِ لَعَلَّهُمْ يَذَّكَّرُونَ,اور ہم نے فرعونیوں کو قحطوں اور میووں کے نقصان میں پکڑا تاکہ نصیحت حاصل کریں,"And we straitened Pharaoh’s folk with famine and dearth of fruits, that peradventure they might heed.","Punishment, Mercy, Lessons from history, Prophets, Nations, Guidance, Disbelief",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,131,فَإِذَا جَاءَتْهُمُ الْحَسَنَةُ قَالُوا لَنَا هَٰذِهِ ۖ وَإِنْ تُصِبْهُمْ سَيِّئَةٌ يَطَّيَّرُوا بِمُوسَىٰ وَمَنْ مَعَهُ ۗ أَلَا إِنَّمَا طَائِرُهُمْ عِنْدَ اللَّهِ وَلَٰكِنَّ أَكْثَرَهُمْ لَا يَعْلَمُونَ,تو جب ان کو آسائش حاصل ہوتی تو کہتے کہ ہم اس کے مستحق ہیں۔ اور اگر سختی پہنچتی تو موسیٰ اور ان کے رفیقوں کی بدشگونی بتاتے۔ دیکھو ان کی بدشگونی خدا کے ہاں مقرر ہے لیکن ان میں اکثر نہیں جانتے,"But whenever good befell them, they said: This is ours; and whenever evil smote them they ascribed it to the evil auspices of Moses and those with him. Surely their evil auspice was only with Allah. But most of them knew not.","Prophethood, Disbelief, Gratitude, Misguidance, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Sadness,Historical story
7,132,وَقَالُوا مَهْمَا تَأْتِنَا بِهِ مِنْ آيَةٍ لِتَسْحَرَنَا بِهَا فَمَا نَحْنُ لَكَ بِمُؤْمِنِينَ,اور کہنے لگے کہ تم ہمارے پاس (خواہ) کوئی ہی نشانی لاؤ تاکہ اس سے ہم پر جادو کرو۔ مگر ہم تم پر ایمان لانے والے نہیں ہیں,"And they said: Whatever portent thou bringest wherewith to bewitch us, we shall not put faith in thee.","Prophethood, Disbelief, Hypocrisy, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,133,فَأَرْسَلْنَا عَلَيْهِمُ الطُّوفَانَ وَالْجَرَادَ وَالْقُمَّلَ وَالضَّفَادِعَ وَالدَّمَ آيَاتٍ مُفَصَّلَاتٍ فَاسْتَكْبَرُوا وَكَانُوا قَوْمًا مُجْرِمِينَ,تو ہم نے ان پر طوفان اور ٹڈیاں اور جوئیں اور مینڈک اور خون کتنی کھلی ہوئی نشانیاں بھیجیں۔ مگر وہ تکبر ہی کرتے رہے اور وہ لوگ تھے ہی گنہگار,So We sent against them the flood and the locusts and the vermin and the frogs and the blood - a succession of clear signs. But they were arrogant and became a guilty folk.,"Punishment, Mercy, Lessons from history, Prophets, Nations, Disbelief, Hypocrisy",History & Stories (Qasas al-Anbiya),Awe,Historical story
7,134,وَلَمَّا وَقَعَ عَلَيْهِمُ الرِّجْزُ قَالُوا يَا مُوسَى ادْعُ لَنَا رَبَّكَ بِمَا عَهِدَ عِنْدَكَ ۖ لَئِنْ كَشَفْتَ عَنَّا الرِّجْزَ لَنُؤْمِنَنَّ لَكَ وَلَنُرْسِلَنَّ مَعَكَ بَنِي إِسْرَائِيلَ,اور جب ان پر عذاب واقع ہوتا تو کہتے کہ موسیٰ ہمارے لیے اپنے پروردگار سے دعا کرو۔ جیسا اس نے تم سے عہد کر رکھا ہے۔ اگر تم ہم سے عذاب کو ٹال دو گے تو ہم تم پر ایمان بھی لے آئیں گے اور بنی اسرائیل کو بھی تمہارے ساتھ جانے (کی اجازت) دیں گے,"And when the terror fell on them they cried: O Moses! Pray for us unto thy Lord, because He hath a covenant with thee. If thou removest the terror from us we verily will trust thee and will let the Children of Israel go with thee.","Prophethood, Dua, Punishment, Mercy, Faith, Hypocrisy, Lessons from history, Prophets, Nations",History & Stories (Qasas al-Anbiya),Fear,Historical story
7,135,فَلَمَّا كَشَفْنَا عَنْهُمُ الرِّجْزَ إِلَىٰ أَجَلٍ هُمْ بَالِغُوهُ إِذَا هُمْ يَنْكُثُونَ,پھر جب ہم ایک مدت کے لیے جس تک ان کو پہنچنا تھا ان سے عذاب دور کردیتے تو وہ عہد کو توڑ ڈالتے,"But when We did remove from them the terror for a term which they must reach, behold! they broke their covenant.","Punishment, Mercy, Lessons from history, Prophets, Nations, Disbelief, Guidance",History & Stories (Qasas al-Anbiya),Sadness,Historical story
7,136,فَانْتَقَمْنَا مِنْهُمْ فَأَغْرَقْنَاهُمْ فِي الْيَمِّ بِأَنَّهُمْ كَذَّبُوا بِآيَاتِنَا وَكَانُوا عَنْهَا غَافِلِينَ,تو ہم نے ان سے بدلہ لے کر ہی چھوڑا کہ ان کو دریا میں ڈبو دیا اس لیے کہ وہ ہماری آیتوں کو جھٹلاتے اور ان سے بےپروائی کرتے تھے,Therefore We took retribution from them; therefore We drowned them in the sea: because they denied Our revelations and were heedless of them.,"Punishment, Disbelief, Lessons from history, Prophets, Nations, Revelation, Power, Justice",History & Stories (Qasas al-Anbiya),Anger at Injustice,Historical story
7,137,وَأَوْرَثْنَا الْقَوْمَ الَّذِينَ كَانُوا يُسْتَضْعَفُونَ مَشَارِقَ الْأَرْضِ وَمَغَارِبَهَا الَّتِي بَارَكْنَا فِيهَا ۖ وَتَمَّتْ كَلِمَتُ رَبِّكَ الْحُسْنَىٰ عَلَىٰ بَنِي إِسْرَائِيلَ بِمَا صَبَرُوا ۖ وَدَمَّرْنَا مَا كَانَ يَصْنَعُ فِرْعَوْنُ وَقَوْمُهُ وَمَا كَانُوا يَعْرِشُونَ,اور جو لوگ کمزور سمجھے جاتے تھے ان کو زمین (شام) کے مشرق ومغرب کا جس میں ہم نے برکت دی تھی وارث کردیا اور بنی اسرائیل کے بارے میں ان کے صبر کی وجہ سے تمہارے پروردگار کا وعدہٴ نیک پورا ہوا اور فرعون اور قوم فرعون جو (محل) بناتے اور (انگور کے باغ) جو چھتریوں پر چڑھاتے تھے سب کو ہم نے تباہ کردیا,And We caused the folk who were despised to inherit the eastern parts of the land and the western parts thereof which We had blessed. And the fair word of thy Lord was fulfilled for the Children of Israel because of their endurance; and We annihilated (all) that Pharaoh and his folk had done and that they had contrived.,"Prophets, Nations, Lessons from history, Reward, Punishment, Mercy, Patience, Guidance",History & Stories (Qasas al-Anbiya),Gratitude,Historical story
7,138,وَجَاوَزْنَا بِبَنِي إِسْرَائِيلَ الْبَحْرَ فَأَتَوْا عَلَىٰ قَوْمٍ يَعْكُفُونَ عَلَىٰ أَصْنَامٍ لَهُمْ ۚ قَالُوا يَا مُوسَى اجْعَلْ لَنَا إِلَٰهًا كَمَا لَهُمْ آلِهَةٌ ۚ قَالَ إِنَّكُمْ قَوْمٌ تَجْهَلُونَ,اور ہم نے بنی اسرائیل کو دریا کے پار اتارا تو وہ ایسے لوگوں کے پاس جا پہنچے جو اپنے بتوں (کی عبادت) کے لیے بیٹھے رہتے تھے۔ (بنی اسرائیل) کہنے لگے کہ موسیٰ جیسے ان لوگوں کے معبود ہیں۔ ہمارے لیے بھی ایک معبود بنا دو۔ موسیٰ نے کہا کہ تم بڑے ہی جاہل لوگ ہو,"And We brought the Children of Israel across the sea, and they came unto a people who were given up to idols which they had. They said: O Moses! Make for us a god even as they have gods. He said: Lo! ye are a folk who know not.","Tawheed, Prophethood, Misguidance, Lessons from history, Prophets, Disbelief",History & Stories (Qasas al-Anbiya),Sadness,Historical story
7,139,إِنَّ هَٰؤُلَاءِ مُتَبَّرٌ مَا هُمْ فِيهِ وَبَاطِلٌ مَا كَانُوا يَعْمَلُونَ,یہ لوگ جس (شغل) میں (پھنسے ہوئے) ہیں وہ برباد ہونے والا ہے اور جو کام یہ کرتے ہیں سب بیہودہ ہیں,"Lo! as for these, their way will be destroyed and all that they are doing is in vain.","Disbelief, Misguidance, Punishment, Lessons from history, Nations",History & Stories (Qasas al-Anbiya),Sadness,Historical story
7,140,قَالَ أَغَيْرَ اللَّهِ أَبْغِيكُمْ إِلَٰهًا وَهُوَ فَضَّلَكُمْ عَلَى الْعَالَمِينَ,(اور یہ بھی) کہا کہ بھلا میں خدا کے سوا تمہارے لیے کوئی اور معبود تلاش کروں حالانکہ اس نے تم کو تمام اہل عالم پر فضیلت بخشی ہے,He said: Shall I seek for you a god other than Allah when He hath favoured you above (all) creatures ?,"Tawheed, Prophethood, Gratitude, Disbelief, Guidance, Misguidance",Faith (Aqeedah),Gratitude,Historical story
7,141,وَإِذْ أَنْجَيْنَاكُمْ مِنْ آلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوءَ الْعَذَابِ ۖ يُقَتِّلُونَ أَبْنَاءَكُمْ وَيَسْتَحْيُونَ نِسَاءَكُمْ ۚ وَفِي ذَٰلِكُمْ بَلَاءٌ مِنْ رَبِّكُمْ عَظِيمٌ,(اور ہمارے ان احسانوں کو یاد کرو) جب ہم نے تم کو فرعونیوں (کے ہاتھ) سے نجات بخشی وہ لوگ تم کو بڑا دکھ دیتے تھے۔ تمہارے بیٹوں کو قتل کر ڈالتے تھے اور بیٹیوں کو زندہ رہنے دیتے تھے۔ اور اس میں تمہارے پروردگار کی طرف سے سخت آزمائش تھی,"And (remember) when We did deliver you from Pharaoh’s folk who were afflicting you with dreadful torment, slaughtering your sons and sparing your women. That was a tremendous trial from your Lord.","Prophets, Nations, Lessons from history, Mercy, Punishment, Gratitude, Guidance",History & Stories (Qasas al-Anbiya),Gratitude,Historical story
